Region,Anzsic_descriptor,Sub_industry,Household_category,Gas,Year,Data_value,Units,Magnitude
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2023,46.4,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,56.47,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,51.11,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,62.62,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,63.64,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,54.79,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,60.43,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,76.86,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,63.31,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,65.34,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,62.72,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,55.91,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,49.48,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,54.69,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,57.73,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,56.94,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,59.03,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2023,55.63,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,43.74,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,42.34,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,44.01,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,39.13,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,39.68,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,39.4,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,42.25,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,36.54,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,34.12,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,31.41,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,31.23,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,33.77,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,37.81,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,47.88,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,29.83,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,30.3,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2023,28.31,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,66.08,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,66.97,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,68.44,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,69.13,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,75.99,Kilotonnes,Carbon dioxide equivalents
